glyph,description
d̠ʒ̤ː,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER EZH and COMBINING DIAERESIS BELOW and MODIFIER LETTER TRIANGULAR COLON
d̠̤ʒ̤,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER EZH and COMBINING DIAERESIS BELOW
d̠̰,creaky retracted alveolar stop consonant
d̠͈ʒ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and COMBINING DOUBLE VERTICAL LINE BELOW and LATIN SMALL LETTER EZH
d̠ⁿ,LATIN SMALL LETTER D and COMBINING MINUS SIGN BELOW and SUPERSCRIPT LATIN SMALL LETTER N
d̤,breathy alveolar stop consonant
d̤z,breathy alveolar sibilant affricate consonant
d̤z̤,breathy alveolar sibilant affricate consonant
d̤ɮ̤,LATIN SMALL LETTER D and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER LEZH and COMBINING DIAERESIS BELOW
d̤ʒ̤,LATIN SMALL LETTER D and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER EZH and COMBINING DIAERESIS BELOW
d̤̥,voiceless alveolar stop consonant
d̩,syllabic voiced alveolar stop consonant
d̪,voiced dental alveolar stop consonant
d̪l̪,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and LATIN SMALL LETTER L and COMBINING BRIDGE BELOW
d̪x,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and LATIN SMALL LETTER X
d̪z̪,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and LATIN SMALL LETTER Z and COMBINING BRIDGE BELOW
d̪z̪ʲ,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and LATIN SMALL LETTER Z and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL J
d̪z̪̤,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and LATIN SMALL LETTER Z and COMBINING BRIDGE BELOW and COMBINING DIAERESIS BELOW
d̪ð,voiced dental affricate consonant
d̪ɦ,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and LATIN SMALL LETTER H WITH HOOK
d̪ɮ̪,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and LATIN SMALL LETTER LEZH and COMBINING BRIDGE BELOW
d̪ʱ,breathy dental alveolar stop consonant
d̪ʲ,voiced dental palatalized alveolar stop consonant
d̪ʷ,voiced dental labialized alveolar stop consonant
d̪ʼkxʼ,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER K and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
d̪ː,long voiced dental alveolar stop consonant
d̪ˤ,voiced dental pharyngealized alveolar stop consonant
d̪̚,no-audible-release voiced dental alveolar stop consonant
d̪̤,breathy dental alveolar stop consonant
d̪̤ː,long breathy dental alveolar stop consonant
d̪̤̥,voiceless dental alveolar stop consonant
d̪̰,creaky dental alveolar stop consonant
d̪ⁿ,LATIN SMALL LETTER D and COMBINING BRIDGE BELOW and SUPERSCRIPT LATIN SMALL LETTER N
d̰,creaky alveolar stop consonant
d̺,voiced apical alveolar stop consonant
d̺ː,long voiced apical alveolar stop consonant
d̻,voiced laminal alveolar stop consonant
d̻z̻,LATIN SMALL LETTER D and COMBINING SQUARE BELOW and LATIN SMALL LETTER Z and COMBINING SQUARE BELOW
d̻ʲ,voiced laminal palatalized alveolar stop consonant
d̻ː,long voiced laminal alveolar stop consonant
d͈,fortis voiced alveolar stop consonant
d͈ː,long fortis voiced alveolar stop consonant
dᶣ,voiced labio-palatalized alveolar stop consonant
dⁿ,LATIN SMALL LETTER D and SUPERSCRIPT LATIN SMALL LETTER N
e,voiced unrounded close-mid front vowel
ea,LATIN SMALL LETTER E and LATIN SMALL LETTER A
ei,LATIN SMALL LETTER E and LATIN SMALL LETTER I
eĩ,LATIN SMALL LETTER E and LATIN SMALL LETTER I and COMBINING TILDE
ei̙,LATIN SMALL LETTER E and LATIN SMALL LETTER I and COMBINING RIGHT TACK BELOW
ei̯,LATIN SMALL LETTER E and LATIN SMALL LETTER I and COMBINING INVERTED BREVE BELOW
ej,LATIN SMALL LETTER E and LATIN SMALL LETTER J
eo,LATIN SMALL LETTER E and LATIN SMALL LETTER O
eu,LATIN SMALL LETTER E and LATIN SMALL LETTER U
eu̯,LATIN SMALL LETTER E and LATIN SMALL LETTER U and COMBINING INVERTED BREVE BELOW
eɔ,LATIN SMALL LETTER E and LATIN SMALL LETTER OPEN O
eɘ,LATIN SMALL LETTER E and LATIN SMALL LETTER REVERSED E
eə,LATIN SMALL LETTER E and LATIN SMALL LETTER SCHWA
eɪ,LATIN SMALL LETTER E and LATIN LETTER SMALL CAPITAL I
eʊ,LATIN SMALL LETTER E and LATIN SMALL LETTER UPSILON
eʰ,aspirated voiced unrounded close-mid front vowel
eʲ,voiced palatalized unrounded close-mid front vowel
eˀ,voiced glottalized unrounded close-mid front vowel
eː,long voiced unrounded close-mid front vowel
eˑ,half-long voiced unrounded close-mid front vowel
eˠ,voiced velarized unrounded close-mid front vowel
eˤ,voiced pharyngealized unrounded close-mid front vowel
ẽ,voiced nasalized unrounded close-mid front vowel
ẽĩ,LATIN SMALL LETTER E and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE
ẽː,long voiced nasalized unrounded close-mid front vowel
ĕ,extra-short voiced unrounded close-mid front vowel
ë,voiced centralized unrounded close-mid front vowel
ëː,long voiced centralized unrounded close-mid front vowel
e̘,voiced advanced-tongue-root unrounded close-mid front vowel
e̘ː,long voiced advanced-tongue-root unrounded close-mid front vowel
e̙,voiced retracted-tongue-root unrounded close-mid front vowel
e̝,voiced raised unrounded close-mid front vowel
e̞,voiced lowered unrounded close-mid front vowel
e̞a,LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER A
e̞i,LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER I
e̞o̞,LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW
e̞u,LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER U
e̞ə,LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER SCHWA
e̞ː,long voiced lowered unrounded close-mid front vowel
e̞ˤ,voiced lowered pharyngealized unrounded close-mid front vowel
ẽ̞,voiced lowered nasalized unrounded close-mid front vowel
