glyph,description
oe̞,LATIN SMALL LETTER O and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW
oi,LATIN SMALL LETTER O and LATIN SMALL LETTER I
oi̯,LATIN SMALL LETTER O and LATIN SMALL LETTER I and COMBINING INVERTED BREVE BELOW
oj,LATIN SMALL LETTER O and LATIN SMALL LETTER J
ou,LATIN SMALL LETTER O and LATIN SMALL LETTER U
oũ,LATIN SMALL LETTER O and LATIN SMALL LETTER U and COMBINING TILDE
ou̙,LATIN SMALL LETTER O and LATIN SMALL LETTER U and COMBINING RIGHT TACK BELOW
ou̯,LATIN SMALL LETTER O and LATIN SMALL LETTER U and COMBINING INVERTED BREVE BELOW
ow,LATIN SMALL LETTER O and LATIN SMALL LETTER W
oɘ,LATIN SMALL LETTER O and LATIN SMALL LETTER REVERSED E
oɛ,LATIN SMALL LETTER O and LATIN SMALL LETTER OPEN E
oɪ,LATIN SMALL LETTER O and LATIN LETTER SMALL CAPITAL I
oʊ,LATIN SMALL LETTER O and LATIN SMALL LETTER UPSILON
oʲ,voiced palatalized rounded close-mid back vowel
oˀ,voiced glottalized rounded close-mid back vowel
oː,long voiced rounded close-mid back vowel
oːu,LATIN SMALL LETTER O and MODIFIER LETTER TRIANGULAR COLON and LATIN SMALL LETTER U
oˑ,half-long voiced rounded close-mid back vowel
o˞,voiced rhotacized rounded close-mid back vowel
oˤ,voiced pharyngealized rounded close-mid back vowel
õ,voiced nasalized rounded close-mid back vowel
õũ,LATIN SMALL LETTER O and COMBINING TILDE and LATIN SMALL LETTER U and COMBINING TILDE
õʲ,voiced nasalized palatalized rounded close-mid back vowel
õː,long voiced nasalized rounded close-mid back vowel
õˤ,voiced nasalized pharyngealized rounded close-mid back vowel
ŏ,extra-short voiced rounded close-mid back vowel
ŏ̃,extra-short voiced nasalized rounded close-mid back vowel
ö,voiced centralized rounded close-mid back vowel
o̘,voiced advanced-tongue-root rounded close-mid back vowel
o̘ː,long voiced advanced-tongue-root rounded close-mid back vowel
o̙,voiced retracted-tongue-root rounded close-mid back vowel
o̝,voiced raised rounded close-mid back vowel
o̞,voiced lowered rounded close-mid back vowel
o̞a,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER A
o̞aˤ,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER A and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
o̞e̞,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW
o̞i,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER I
o̞iˤ,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER I and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
o̞u,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and LATIN SMALL LETTER U
o̞ː,long voiced lowered rounded close-mid back vowel
o̞ˤ,voiced lowered pharyngealized rounded close-mid back vowel
o̞ˤː,long voiced lowered pharyngealized rounded close-mid back vowel
õ̞,voiced lowered nasalized rounded close-mid back vowel
õ̞ã,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and COMBINING TILDE and LATIN SMALL LETTER A and COMBINING TILDE
õ̞ãˤ,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and COMBINING TILDE and LATIN SMALL LETTER A and COMBINING TILDE and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
õ̞ĩ,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE
õ̞ĩˤ,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
õ̞ũ,LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and COMBINING TILDE and LATIN SMALL LETTER U and COMBINING TILDE
õ̞ː,long voiced lowered nasalized rounded close-mid back vowel
õ̞ˤ,voiced lowered nasalized pharyngealized rounded close-mid back vowel
ŏ̞,extra-short voiced lowered rounded close-mid back vowel
ö̞,voiced centralized rounded close-mid back vowel
o̞̟,voiced advanced rounded close-mid back vowel
o̞̥,voiceless lowered rounded close-mid back vowel
o̞̰,creaky lowered rounded close-mid back vowel
õ̞̰,creaky lowered nasalized rounded close-mid back vowel
o̟,voiced advanced rounded close-mid back vowel
o̤,breathy rounded close-mid back vowel
o̤i̤,LATIN SMALL LETTER O and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW
o̤ː,long breathy rounded close-mid back vowel
o̤ˑ,half-long breathy rounded close-mid back vowel
o̯,LATIN SMALL LETTER O and COMBINING INVERTED BREVE BELOW
o̰,creaky rounded close-mid back vowel
o̰ː,long creaky rounded close-mid back vowel
o̰ˑ,half-long creaky rounded close-mid back vowel
õ̰,creaky nasalized rounded close-mid back vowel
oᴱ,LATIN SMALL LETTER O and MODIFIER LETTER CAPITAL E
p,voiceless bilabial stop consonant
pf,voiceless bilabial affricate consonant
pfʰ,aspirated voiceless bilabial affricate consonant
pfʼ,LATIN SMALL LETTER P and LATIN SMALL LETTER F and MODIFIER LETTER APOSTROPHE
pkʰ,LATIN SMALL LETTER P and LATIN SMALL LETTER K and MODIFIER LETTER SMALL H
pm,LATIN SMALL LETTER P and LATIN SMALL LETTER M
ps,LATIN SMALL LETTER P and LATIN SMALL LETTER S
psʰ,LATIN SMALL LETTER P and LATIN SMALL LETTER S and MODIFIER LETTER SMALL H
psʷ,LATIN SMALL LETTER P and LATIN SMALL LETTER S and MODIFIER LETTER SMALL W
psʷʰ,LATIN SMALL LETTER P and LATIN SMALL LETTER S and MODIFIER LETTER SMALL W and MODIFIER LETTER SMALL H
pt,LATIN SMALL LETTER P and LATIN SMALL LETTER T
pɦ,LATIN SMALL LETTER P and LATIN SMALL LETTER H WITH HOOK
pɸ,voiceless bilabial affricate consonant
pɾ,LATIN SMALL LETTER P and LATIN SMALL LETTER R WITH FISHHOOK
pʃʰ,LATIN SMALL LETTER P and LATIN SMALL LETTER ESH and MODIFIER LETTER SMALL H
pʃʼ,LATIN SMALL LETTER P and LATIN SMALL LETTER ESH and MODIFIER LETTER APOSTROPHE
pʰ,aspirated voiceless bilabial stop consonant
pʰʷ,aspirated voiceless labialized bilabial stop consonant
pʰː,aspirated long voiceless bilabial stop consonant
pʱ,breathy bilabial stop consonant
pʲ,voiceless palatalized bilabial stop consonant
pʲʰ,aspirated voiceless palatalized bilabial stop consonant
pʷ,voiceless labialized bilabial stop consonant
pʷˠ,voiceless labialized velarized bilabial stop consonant
pʷˠʰ,aspirated voiceless labialized velarized bilabial stop consonant
pʼ,voiceless bilabial ejective stop consonant
pʼkxʼ,LATIN SMALL LETTER P and MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER K and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
pʼː,long voiceless bilabial ejective stop consonant
pˀ,voiceless glottalized bilabial stop consonant
pː,long voiceless bilabial stop consonant
pːʷˠ,long voiceless labialized velarized bilabial stop consonant
pˤ,voiceless pharyngealized bilabial stop consonant
p̃,voiceless nasalized bilabial stop consonant
p̪,voiceless labiodental stop consonant
p̰,creaky bilabial stop consonant
p̻,voiceless laminal bilabial stop consonant
p͈,fortis voiceless bilabial stop consonant
p͈ː,long fortis voiceless bilabial stop consonant
p͉,lenis voiceless bilabial stop consonant
p͉ʲ,lenis voiceless palatalized bilabial stop consonant
q,voiceless uvular stop consonant
qm,LATIN SMALL LETTER Q and LATIN SMALL LETTER M
qn,LATIN SMALL LETTER Q and LATIN SMALL LETTER N
qǀ,LATIN SMALL LETTER Q and LATIN LETTER DENTAL CLICK
qǀʰ,LATIN SMALL LETTER Q and LATIN LETTER DENTAL CLICK and MODIFIER LETTER SMALL H
qǀʼ,LATIN SMALL LETTER Q and LATIN LETTER DENTAL CLICK and MODIFIER LETTER APOSTROPHE
qǁ,LATIN SMALL LETTER Q and LATIN LETTER LATERAL CLICK
qǁʰ,LATIN SMALL LETTER Q and LATIN LETTER LATERAL CLICK and MODIFIER LETTER SMALL H
qǁʼ,LATIN SMALL LETTER Q and LATIN LETTER LATERAL CLICK and MODIFIER LETTER APOSTROPHE
qǂ,LATIN SMALL LETTER Q and LATIN LETTER ALVEOLAR CLICK
qǂʰ,LATIN SMALL LETTER Q and LATIN LETTER ALVEOLAR CLICK and MODIFIER LETTER SMALL H
qǂʼ,LATIN SMALL LETTER Q and LATIN LETTER ALVEOLAR CLICK and MODIFIER LETTER APOSTROPHE
qǃ,LATIN SMALL LETTER Q and LATIN LETTER RETROFLEX CLICK
qǃʰ,LATIN SMALL LETTER Q and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER SMALL H
qǃʼ,LATIN SMALL LETTER Q and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER APOSTROPHE
qʘ,LATIN SMALL LETTER Q and LATIN LETTER BILABIAL CLICK
qʘʰ,LATIN SMALL LETTER Q and LATIN LETTER BILABIAL CLICK and MODIFIER LETTER SMALL H
qʘʼ,LATIN SMALL LETTER Q and LATIN LETTER BILABIAL CLICK and MODIFIER LETTER APOSTROPHE
qʰ,aspirated voiceless uvular stop consonant
qʷ,voiceless labialized uvular stop consonant
qʷʰ,aspirated voiceless labialized uvular stop consonant
qʷʼ,LATIN SMALL LETTER Q and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
qʷˀ,voiceless labialized glottalized uvular stop consonant
qʷː,long voiceless labialized uvular stop consonant
qʷˤʰ,aspirated voiceless labialized pharyngealized uvular stop consonant
qʷˤʼ,LATIN SMALL LETTER Q and MODIFIER LETTER SMALL W and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP and MODIFIER LETTER APOSTROPHE
qʼ,voiceless uvular ejective stop consonant
qʼʷ,voiceless labialized uvular ejective stop consonant
qʼː,long voiceless uvular ejective stop consonant
qˀ,voiceless glottalized uvular stop consonant
qː,long voiceless uvular stop consonant
qˤʰ,aspirated voiceless pharyngealized uvular stop consonant
qˤʼ,LATIN SMALL LETTER Q and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP and MODIFIER LETTER APOSTROPHE
q̚,no-audible-release voiceless uvular stop consonant
q̰,creaky uvular stop consonant
q̰ʷ,creaky labialized uvular stop consonant
q͈,fortis voiceless uvular stop consonant
q͈ʷ,fortis voiceless labialized uvular stop consonant
qχ,voiceless uvular affricate consonant
qχʷ,voiceless labialized uvular affricate consonant
qχʷʼ,LATIN SMALL LETTER Q and GREEK SMALL LETTER CHI and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
qχʷˤ,voiceless labialized pharyngealized uvular affricate consonant
qχʷˤʼ,LATIN SMALL LETTER Q and GREEK SMALL LETTER CHI and MODIFIER LETTER SMALL W and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP and MODIFIER LETTER APOSTROPHE
qχʼ,voiceless uvular ejective affricate consonant
qχʼː,long voiceless uvular ejective affricate consonant
qχː,long voiceless uvular affricate consonant
qχˤ,voiceless pharyngealized uvular affricate consonant
qχˤʼ,LATIN SMALL LETTER Q and GREEK SMALL LETTER CHI and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP and MODIFIER LETTER APOSTROPHE
qχˤː,long voiceless pharyngealized uvular affricate consonant
r,voiced alveolar trill consonant
rʱ,breathy alveolar trill consonant
rʲ,voiced palatalized alveolar trill consonant
rʷ,voiced labialized alveolar trill consonant
rʼ,voiceless alveolar trill consonant
rʼː,long voiceless alveolar trill consonant
rˀ,voiced glottalized alveolar trill consonant
rː,long voiced alveolar trill consonant
rˤ,voiced pharyngealized alveolar trill consonant
rˤː,long voiced pharyngealized alveolar trill consonant
r̃,voiced nasalized alveolar trill consonant
r̝,voiced raised alveolar trill consonant
r̠,voiced retracted alveolar trill consonant
r̠ʲ,voiced retracted palatalized alveolar trill consonant
r̠̙,voiced retracted retracted-tongue-root alveolar trill consonant
r̤,breathy alveolar trill consonant
r̥,voiceless alveolar trill consonant
r̩,syllabic voiced alveolar trill consonant
r̪,voiced dental alveolar trill consonant
r̪ʲ,voiced dental palatalized alveolar trill consonant
r̪ː,long voiced dental alveolar trill consonant
r̪ˠ,voiced dental velarized alveolar trill consonant
r̪ˤ,voiced dental pharyngealized alveolar trill consonant
r̪̥,voiceless dental alveolar trill consonant
r̪̰,creaky dental alveolar trill consonant
r̰,creaky alveolar trill consonant
r̺,voiced apical alveolar trill consonant
r͈ː,long fortis voiced alveolar trill consonant
r͓̪,LATIN SMALL LETTER R and COMBINING X BELOW and COMBINING BRIDGE BELOW
rᶣ,voiced labio-palatalized alveolar trill consonant
s,voiceless alveolar sibilant fricative consonant
st,LATIN SMALL LETTER S and LATIN SMALL LETTER T
sɾ,LATIN SMALL LETTER S and LATIN SMALL LETTER R WITH FISHHOOK
sʰ,aspirated voiceless alveolar sibilant fricative consonant
sʲ,voiceless palatalized alveolar sibilant fricative consonant
sʲʷ,voiceless palatalized labialized alveolar sibilant fricative consonant
sʷ,voiceless labialized alveolar sibilant fricative consonant
sʼ,voiceless alveolar ejective fricative consonant
sʼː,long voiceless alveolar ejective fricative consonant
sˀ,voiceless glottalized alveolar sibilant fricative consonant
sː,long voiceless alveolar sibilant fricative consonant
sˠ,voiceless velarized alveolar sibilant fricative consonant
sˤ,voiceless pharyngealized alveolar sibilant fricative consonant
sˤː,long voiceless pharyngealized alveolar sibilant fricative consonant
s̪,voiceless dental alveolar sibilant fricative consonant
s̪ʰ,aspirated voiceless dental alveolar sibilant fricative consonant
s̪ʲ,voiceless dental palatalized alveolar sibilant fricative consonant
s̪ʷ,voiceless dental labialized alveolar sibilant fricative consonant
s̪ʷː,long voiceless dental labialized alveolar sibilant fricative consonant
s̪ʼ,LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER APOSTROPHE
s̪ˀ,voiceless dental glottalized alveolar sibilant fricative consonant
s̪ː,long voiceless dental alveolar sibilant fricative consonant
s̪ˤ,voiceless dental pharyngealized alveolar sibilant fricative consonant
s̰,creaky alveolar sibilant fricative consonant
s̺,voiceless apical alveolar sibilant fricative consonant
s̻,voiceless laminal alveolar sibilant fricative consonant
s̻ː,long voiceless laminal alveolar sibilant fricative consonant
s̻θ,LATIN SMALL LETTER S and COMBINING SQUARE BELOW and GREEK SMALL LETTER THETA
s͈,fortis voiceless alveolar sibilant fricative consonant
s͈ː,long fortis voiceless alveolar sibilant fricative consonant
s͉,lenis voiceless alveolar sibilant fricative consonant
sᶣ,voiceless labio-palatalized alveolar sibilant fricative consonant
t,voiceless alveolar stop consonant
tç,LATIN SMALL LETTER T and LATIN SMALL LETTER C and COMBINING CEDILLA
tçʰ,LATIN SMALL LETTER T and LATIN SMALL LETTER C and COMBINING CEDILLA and MODIFIER LETTER SMALL H
tl,LATIN SMALL LETTER T and LATIN SMALL LETTER L
tlʱ,LATIN SMALL LETTER T and LATIN SMALL LETTER L and MODIFIER LETTER SMALL H WITH HOOK
tn,LATIN SMALL LETTER T and LATIN SMALL LETTER N
tr,LATIN SMALL LETTER T and LATIN SMALL LETTER R
ts,voiceless alveolar sibilant affricate consonant
tsɦ,LATIN SMALL LETTER T and LATIN SMALL LETTER S and LATIN SMALL LETTER H WITH HOOK
tsʰ,aspirated voiceless alveolar sibilant affricate consonant
tsʰʷ,aspirated voiceless labialized alveolar sibilant affricate consonant
tsʰː,aspirated long voiceless alveolar sibilant affricate consonant
tsʱ,breathy alveolar sibilant affricate consonant
tsʲ,voiceless palatalized alveolar sibilant affricate consonant
tsʲʰ,aspirated voiceless palatalized alveolar sibilant affricate consonant
tsʷ,voiceless labialized alveolar sibilant affricate consonant
tsʷʰ,aspirated voiceless labialized alveolar sibilant affricate consonant
tsʷʼ,LATIN SMALL LETTER T and LATIN SMALL LETTER S and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
tsʼ,voiceless alveolar ejective affricate consonant
tsʼː,long voiceless alveolar ejective affricate consonant
tsˀ,voiceless glottalized alveolar sibilant affricate consonant
tsː,long voiceless alveolar sibilant affricate consonant
tsˠ,voiceless velarized alveolar sibilant affricate consonant
ts̪,voiceless dental alveolar sibilant affricate consonant
ts̰,creaky alveolar sibilant affricate consonant
ts͇,LATIN SMALL LETTER T and LATIN SMALL LETTER S and COMBINING EQUALS SIGN BELOW
ts͇ʰ,LATIN SMALL LETTER T and LATIN SMALL LETTER S and COMBINING EQUALS SIGN BELOW and MODIFIER LETTER SMALL H
tx,LATIN SMALL LETTER T and LATIN SMALL LETTER X
tz̤̥,LATIN SMALL LETTER T and LATIN SMALL LETTER Z and COMBINING DIAERESIS BELOW and COMBINING RING BELOW
tɕ,voiceless alveolo-palatal sibilant affricate consonant
tɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant
tɕʷ,voiceless labialized alveolo-palatal sibilant affricate consonant
tɕᶣ,voiceless labio-palatalized alveolo-palatal sibilant affricate consonant
tɦ,LATIN SMALL LETTER T and LATIN SMALL LETTER H WITH HOOK
tɬ,voiceless alveolar lateral affricate consonant
tɬʰ,aspirated voiceless alveolar lateral affricate consonant
tɬʼ,voiceless alveolar lateral ejective affricate consonant
tɬ̰,creaky alveolar lateral affricate consonant
tɾ,LATIN SMALL LETTER T and LATIN SMALL LETTER R WITH FISHHOOK
tʃ,voiceless palatal sibilant affricate consonant
tʃʰ,aspirated voiceless palatal sibilant affricate consonant
tʃʼ,voiceless palato-alveolar ejective affricate consonant
tʰ,aspirated voiceless alveolar stop consonant
tʰʲ,aspirated voiceless palatalized alveolar stop consonant
tʰʷ,aspirated voiceless labialized alveolar stop consonant
tʰʼ,LATIN SMALL LETTER T and MODIFIER LETTER SMALL H and MODIFIER LETTER APOSTROPHE
tʱ,breathy alveolar stop consonant
tʲ,voiceless palatalized alveolar stop consonant
tʲʰ,aspirated voiceless palatalized alveolar stop consonant
tʲʼ,LATIN SMALL LETTER T and MODIFIER LETTER SMALL J and MODIFIER LETTER APOSTROPHE
tʷ,voiceless labialized alveolar stop consonant
tʷʰ,aspirated voiceless labialized alveolar stop consonant
tʼ,voiceless alveolar ejective stop consonant
tʼkxʼ,LATIN SMALL LETTER T and MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER K and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
tʼː,long voiceless alveolar ejective stop consonant
tˀ,voiceless glottalized alveolar stop consonant
tː,long voiceless alveolar stop consonant
tːs,LATIN SMALL LETTER T and MODIFIER LETTER TRIANGULAR COLON and LATIN SMALL LETTER S
tˠ,voiceless velarized alveolar stop consonant
tˤ,voiceless pharyngealized alveolar stop consonant
tˤː,long voiceless pharyngealized alveolar stop consonant
t̃,voiceless nasalized alveolar stop consonant
t̠,voiceless retracted alveolar stop consonant
t̠n̠,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER N and COMBINING MINUS SIGN BELOW
t̠ʃ,voiceless retracted palatal sibilant affricate consonant
t̠ʃx,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and LATIN SMALL LETTER X
t̠ʃɾ,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and LATIN SMALL LETTER R WITH FISHHOOK
t̠ʃʰ,aspirated voiceless retracted palatal sibilant affricate consonant
t̠ʃʰː,aspirated long voiceless retracted palatal sibilant affricate consonant
t̠ʃʱ,breathy retracted palatal sibilant affricate consonant
t̠ʃʲ,voiceless retracted palatalized palatal sibilant affricate consonant
t̠ʃʲʰ,aspirated voiceless retracted palatalized palatal sibilant affricate consonant
t̠ʃʷ,voiceless retracted labialized palatal sibilant affricate consonant
t̠ʃʷʰ,aspirated voiceless retracted labialized palatal sibilant affricate consonant
t̠ʃʷʼ,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
t̠ʃʷː,long voiceless retracted labialized palatal sibilant affricate consonant
t̠ʃʼ,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER APOSTROPHE
t̠ʃʼː,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER APOSTROPHE and MODIFIER LETTER TRIANGULAR COLON
t̠ʃˀ,voiceless retracted glottalized palatal sibilant affricate consonant
t̠ʃː,long voiceless retracted palatal sibilant affricate consonant
t̠ʃˠ,voiceless retracted velarized palatal sibilant affricate consonant
t̠ʃ̰,creaky retracted palatal sibilant affricate consonant
t̠ʃ̺ʰ,aspirated voiceless apical palatal sibilant affricate consonant
t̠ʃ͉,lenis voiceless retracted palatal sibilant affricate consonant
t̠ʰ,aspirated voiceless retracted alveolar stop consonant
t̠ːʃ,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and MODIFIER LETTER TRIANGULAR COLON and LATIN SMALL LETTER ESH
t̠͈ʃ,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and COMBINING DOUBLE VERTICAL LINE BELOW and LATIN SMALL LETTER ESH
t̠͈ʃʷ,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and COMBINING DOUBLE VERTICAL LINE BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER SMALL W
t̠͈ʃː,LATIN SMALL LETTER T and COMBINING MINUS SIGN BELOW and COMBINING DOUBLE VERTICAL LINE BELOW and LATIN SMALL LETTER ESH and MODIFIER LETTER TRIANGULAR COLON
t̪,voiceless dental alveolar stop consonant
t̪n̪,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER N and COMBINING BRIDGE BELOW
t̪s,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S
t̪s̪,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW
t̪s̪ɦ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and LATIN SMALL LETTER H WITH HOOK
t̪s̪ʰ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL H
t̪s̪ʲ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL J
t̪s̪ʷʰ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL W and MODIFIER LETTER SMALL H
t̪s̪ʷʼ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
t̪s̪ʷː,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL W and MODIFIER LETTER TRIANGULAR COLON
t̪s̪ʼ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER APOSTROPHE
t̪s̪ʼː,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER APOSTROPHE and MODIFIER LETTER TRIANGULAR COLON
t̪s̪ˀ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER GLOTTAL STOP
t̪s̪ː,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING BRIDGE BELOW and MODIFIER LETTER TRIANGULAR COLON
t̪x,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER X
t̪ɦ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER H WITH HOOK
t̪ɬ̪,voiceless dental lateral affricate consonant
t̪ɬ̪ʰ,aspirated voiceless dental lateral affricate consonant
t̪ɬ̪ʷʰ,aspirated voiceless labialized dental lateral affricate consonant
t̪ɬ̪ʷʼ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER L WITH BELT and COMBINING BRIDGE BELOW and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
t̪ɬ̪ʼ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER L WITH BELT and COMBINING BRIDGE BELOW and MODIFIER LETTER APOSTROPHE
t̪ɬ̪ʼː,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER L WITH BELT and COMBINING BRIDGE BELOW and MODIFIER LETTER APOSTROPHE and MODIFIER LETTER TRIANGULAR COLON
t̪ɬ̪ˀ,voiceless glottalized dental lateral affricate consonant
t̪ɬ̪ː,long voiceless dental lateral affricate consonant
t̪ʃ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN SMALL LETTER ESH
t̪ʙ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and LATIN LETTER SMALL CAPITAL B
t̪ʰ,aspirated voiceless dental alveolar stop consonant
t̪ʰː,aspirated long voiceless dental alveolar stop consonant
t̪ʲ,voiceless dental palatalized alveolar stop consonant
t̪ʲʰ,aspirated voiceless dental palatalized alveolar stop consonant
t̪ʷ,voiceless dental labialized alveolar stop consonant
t̪ʷʰ,aspirated voiceless dental labialized alveolar stop consonant
t̪ʼ,voiceless dental ejective stop consonant
t̪ʼkxʼ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and MODIFIER LETTER APOSTROPHE and LATIN SMALL LETTER K and LATIN SMALL LETTER X and MODIFIER LETTER APOSTROPHE
t̪ʼː,long voiceless dental ejective stop consonant
t̪ˀ,voiceless dental glottalized alveolar stop consonant
t̪ː,long voiceless dental alveolar stop consonant
t̪ˠʰ,aspirated voiceless dental velarized alveolar stop consonant
t̪ˤ,voiceless dental pharyngealized alveolar stop consonant
t̪̰,creaky dental alveolar stop consonant
t̪θ,voiceless dental affricate consonant
t̪θʰ,aspirated voiceless dental affricate consonant
t̪θʼ,LATIN SMALL LETTER T and COMBINING BRIDGE BELOW and GREEK SMALL LETTER THETA and MODIFIER LETTER APOSTROPHE
t̰,creaky alveolar stop consonant
t̰s̰,creaky alveolar affricate consonant
t̺,voiceless apical alveolar stop consonant
t̺s̺,LATIN SMALL LETTER T and COMBINING INVERTED BRIDGE BELOW and LATIN SMALL LETTER S and COMBINING INVERTED BRIDGE BELOW
t̺ː,long voiceless apical alveolar stop consonant
t̻,voiceless laminal alveolar stop consonant
t̻s̻,voiceless laminal alveolar sibilant affricate consonant
t̻s̻ʰ,aspirated voiceless laminal alveolar sibilant affricate consonant
t̻s̻ʼ,LATIN SMALL LETTER T and COMBINING SQUARE BELOW and LATIN SMALL LETTER S and COMBINING SQUARE BELOW and MODIFIER LETTER APOSTROPHE
t̻ʰ,aspirated voiceless laminal alveolar stop consonant
t̻ʰː,aspirated long voiceless laminal alveolar stop consonant
t̻ʲ,voiceless laminal palatalized alveolar stop consonant
t̻ʼ,LATIN SMALL LETTER T and COMBINING SQUARE BELOW and MODIFIER LETTER APOSTROPHE
t̻ː,long voiceless laminal alveolar stop consonant
t͈,fortis voiceless alveolar stop consonant
t͈s,fortis voiceless alveolar sibilant affricate consonant
t͈sʷ,fortis voiceless labialized alveolar sibilant affricate consonant
