GlyphID,Phoneme,Count,Description,advancedTongueRoot,anterior,approximant,back,click,consonantal,constrictedGlottis,continuant,coronal,delayedRelease,distributed,dorsal,epilaryngealSource,fortis,front,high,labial,labiodental,lateral,long,low,loweredLarynxImplosive,nasal,periodicGlottalSource,raisedLarynxEjective,retractedTongueRoot,round,short,sonorant,spreadGlottis,stress,strident,syllabic,tap,tense,tone,trill
0061+02DE,a˞,3,voiced rhotacized unrounded open front vowel,-,+,+,-,0,-,-,+,+,0,+,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,+,+,-,0,0,-
0061+02E0,aˠ,1,voiced velarized unrounded open front vowel,-,0,+,+,0,-,-,+,-,0,0,+,-,0,-,+,-,0,-,-,-,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+02E4,aˤ,5,voiced pharyngealized unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+0303,ã,479,voiced nasalized unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,+,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0303+0065+0303+031E+02E4,ãẽ̞ˤ,1,,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,0,-,-,+|-,-,+,+,-,+,0,-,+,-,-,0,+,-,+,0,-
0061+0303+0069,ãi,1,LATIN SMALL LETTER A and COMBINING TILDE and LATIN SMALL LETTER I,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,0,-,-,+|-,-,+,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+0303+0069+0303,ãĩ,1,LATIN SMALL LETTER A and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,0,-,-,+|-,-,+,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+0303+006F+0303+031E+02E4,ãõ̞ˤ,1,,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-,-|+,-,-,-,+|-,-,+,+,-,+,+,-,+,-,-,0,+,-,+,0,-
0061+0303+02B2,ãʲ,1,voiced nasalized palatalized unrounded open front vowel,-,0,+,+,0,-,-,+,-,0,0,+,-,0,+,+,-,0,-,-,-,-,+,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0303+02D0,ãː,65,long voiced nasalized unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,+,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0303+02D0+02E4,ãːˤ,1,,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,+,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+0303+02E4,ãˤ,2,voiced nasalized pharyngealized unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,+,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+0303+0306,ã̆,1,extra-short voiced nasalized unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,+,+,-,-,0,+,+,-,-,0,+,-,0,0,-
0061+0303+031F,ã̟,8,,-,0,+,-,0,-,-,+,-,0,0,+,-,0,+,-,-,0,-,-,+,-,+,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0303+031F+0069+0303,ã̟ĩ,1,,-,0,+,-,0,-,-,+,-,0,0,+,-,0,+,-|+,-,0,-,-,+|-,-,+,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+0303+031F+02D0,ã̟ː,1,,-,0,+,-,0,-,-,+,-,0,0,+,-,0,+,-,-,0,-,+,+,-,+,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0303+0330,ã̰,8,,-,0,+,-,0,-,+,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,+,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0306,ă,6,extra-short voiced unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,+,+,-,-,0,+,-,0,0,-
0061+0308,ä,2,voiced centralized unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,-,-,-,+,-,-,0,-,+,-,-,0,+,-,-,0,-
0061+030A,å,1,LATIN SMALL LETTER A and COMBINING RING ABOVE,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0319,a̙,1,voiced retracted-tongue-root unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+0319+02D0,a̙ː,1,long voiced retracted-tongue-root unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,-,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+0319+02E0,a̙ˠ,1,voiced retracted-tongue-root velarized unrounded open front vowel,-,0,+,+,0,-,-,+,-,0,0,+,-,0,-,+,-,0,-,-,-,-,-,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+0319+031F+02D0,a̙̟ː,1,,-,0,+,-,0,-,-,+,-,0,0,+,-,0,+,-,-,0,-,+,+,-,-,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+031F,a̟,41,voiced advanced unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,+,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+031F+0069,a̟i,1,LATIN SMALL LETTER A and COMBINING PLUS SIGN BELOW and LATIN SMALL LETTER I,-,0,+,-,0,-,-,+,-,0,0,+,-,0,+,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+031F+02D0,a̟ː,12,long voiced advanced unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,+,-,-,0,-,+,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+031F+02DE,a̟˞,1,voiced advanced rhotacized unrounded open front vowel,-,+,+,-,0,-,-,+,+,0,+,+,-,0,+,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,+,+,-,0,0,-
0061+0320,a̠,1,voiced retracted unrounded open front vowel,-,-,+,-,0,-,-,+,-,0,+,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0320+02D0,a̠ː,1,long voiced retracted unrounded open front vowel,-,-,+,-,0,-,-,+,-,0,+,+,-,0,-,-,-,0,-,+,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0324,a̤,17,breathy unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,+,-,0,+,-,0,0,-
0061+0324+0069+0324,a̤i̤,1,LATIN SMALL LETTER A and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,+,-,0,+,-,+,0,-
