GlyphID,Allophone,Count,Frequency
0063+02D0+02BC,t̠ʃːʼ,1,0.2500
0063+031F,c̟,6,0.5000
0063+031F,ɟ̟,5,0.4167
0063+031F,c̟ʰ,1,0.0833
0063+0330,c̰,2,1.0000
0064,d,893,0.7606
0064,nd,36,0.0307
0064,r,26,0.0221
0064,dʲ,21,0.0179
0064,t,18,0.0153
0064,ɾ,18,0.0153
0064,dʷ,16,0.0136
0064,l,14,0.0119
0064,d̚,13,0.0111
0064,ð,11,0.0094
0064,ɗ,8,0.0068
0064,ɖ,8,0.0068
0064,n,8,0.0068
0064,d̪,7,0.0060
0064,dⁿ,6,0.0051
0064,dː,6,0.0051
0064,t͉,4,0.0034
0064,d̠ʒ,4,0.0034
0064,t̚,4,0.0034
0064,dz,4,0.0034
0064,dʱ,3,0.0026
0064,d̃,3,0.0026
0064,dˤ,3,0.0026
0064,ʒ,2,0.0017
0064,dˡ,2,0.0017
0064,dˠʷ,2,0.0017
0064,ɾ̥,2,0.0017
0064,ɟ,2,0.0017
0064,z,2,0.0017
0064,ɺ,2,0.0017
0064,ɽ,2,0.0017
0064,dʲʷ,1,0.0009
0064,tʰ,1,0.0009
0064,ʷd,1,0.0009
0064,nˀ,1,0.0009
0064,ɭ,1,0.0009
0064,d̥,1,0.0009
0064,d̠ʒʷ,1,0.0009
0064,ʔ,1,0.0009
0064,ɭɬ̜,1,0.0009
0064,ˀd,1,0.0009
0064,ɖθ̜,1,0.0009
0064,nt,1,0.0009
0064,ŋ,1,0.0009
0064,ndʷ,1,0.0009
0064,dn,1,0.0009
0064,md,1,0.0009
0064,c,1,0.0009
0064,dˠ,1,0.0009
0064,l̪ɬ̪,1,0.0009
0064,d̪θ̪,1,0.0009
0064,tʼ,1,0.0009
0064,l̪,1,0.0009
0064,t̰,1,0.0009
0064,ɹ,1,0.0009
0064+006C,dl,2,1.0000
0064+006C+02B7,dlʷ,1,1.0000
0064+0072,dr,7,1.0000
0064+0078,dx,2,1.0000
0064+007A,dz,157,0.7235
0064+007A,d̠ʒ,28,0.1290
0064+007A,ndz,13,0.0599
0064+007A,z,4,0.0184
0064+007A,dzʲ,3,0.0138
0064+007A,ʒ,2,0.0092
0064+007A,dzʷ,2,0.0092
0064+007A,dzʲʷ,1,0.0046
0064+007A,z̪,1,0.0046
0064+007A,d̠ʒʷ,1,0.0046
0064+007A,ts,1,0.0046
0064+007A,t͉s,1,0.0046
0064+007A,dzː,1,0.0046
0064+007A,ʷdz,1,0.0046
0064+007A,dzˠʷ,1,0.0046
0064+007A+02B1,dzʱ,2,1.0000
0064+007A+02B2,dzʲ,1,1.0000
0064+007A+02B7,dzʷ,5,1.0000
0064+007A+02D0,dzː,5,0.8333
0064+007A+02D0,d̠ʒː,1,0.1667
0064+007A+0303,dz̃,1,1.0000
0064+007A+032A,dz̪,1,1.0000
0064+026E,dɮ,1,1.0000
0064+027E,dɾ,2,1.0000
0064+0291,dʑ,13,1.0000
0064+0291+1DA3,dʑᶣ,2,1.0000
0064+02B1,dʱ,8,1.0000
0064+02B2,dʲ,29,0.8788
0064+02B2,lʲ,1,0.0303
0064+02B2,tʲ,1,0.0303
0064+02B2,ɟ,1,0.0303
0064+02B2,tʰʲ,1,0.0303
0064+02B2+02B7,dʲʷ,2,1.0000
0064+02B7,dʷ,19,0.9500
0064+02B7,lʷ,1,0.0500
0064+02BC,dʼ,1,1.0000
0064+02BC+006B+0078+02BC,dʼkxʼ,1,1.0000
0064+02C0,dˀ,2,0.5000
0064+02C0,jˀ,1,0.2500
0064+02C0,tˀ,1,0.2500
0064+02D0,dː,34,0.9714
0064+02D0,d,1,0.0286
0064+02D0+02E4,dːˤ,4,1.0000
0064+02E0,dˠ,1,1.0000
0064+02E4,dˤ,6,1.0000
0064+0303,d̃,5,0.7143
0064+0303,dr̃,1,0.1429
0064+0303,t̃,1,0.1429
0064+031E,d̞,1,1.0000
0064+0320+0292,d̠ʒ,493,0.8471
0064+0320+0292,n̠d̠ʒ,16,0.0275
0064+0320+0292,ʒ,13,0.0223
0064+0320+0292,d̠ʒʷ,9,0.0155
0064+0320+0292,t̠ʃ,8,0.0137
0064+0320+0292,d̠ʒʲ,7,0.0120
0064+0320+0292,dz,3,0.0052
0064+0320+0292,t̠ʃ͉,3,0.0052
0064+0320+0292,d̠ʒː,3,0.0052
0064+0320+0292,d̠ʒ̥,2,0.0034
0064+0320+0292,dʲ,2,0.0034
0064+0320+0292,d,2,0.0034
0064+0320+0292,ɟ,2,0.0034
0064+0320+0292,ɟ̚ˀ,1,0.0017
0064+0320+0292,ʒʲ,1,0.0017
0064+0320+0292,d̠ʒʰ,1,0.0017
0064+0320+0292,ʝ,1,0.0017
0064+0320+0292,ɟ̟̚,1,0.0017
0064+0320+0292,t̠ʃ̚,1,0.0017
0064+0320+0292,ɟ̟,1,0.0017
0064+0320+0292,d̥̚,1,0.0017
0064+0320+0292,ɗ,1,0.0017
0064+0320+0292,dʑᶣ,1,0.0017
0064+0320+0292,dr,1,0.0017
0064+0320+0292,zʲ,1,0.0017
0064+0320+0292,dːʒ,1,0.0017
0064+0320+0292,k,1,0.0017
0064+0320+0292,j,1,0.0017
0064+0320+0292,c̚,1,0.0017
0064+0320+0292,ɗʲ,1,0.0017
0064+0320+0292,n̠d̠ʒʷ,1,0.0017
0064+0320+0292,z,1,0.0017
0064+0320+0292+0078+02BC,d̠ʒxʼ,1,1.0000
0064+0320+0292+027E,d̠ʒɾ,1,1.0000
0064+0320+0292+02B0,d̠ʒʰ,1,1.0000
0064+0320+0292+02B1,d̠ʒʱ,4,1.0000
0064+0320+0292+02B2,d̠ʒʲ,5,0.8333
0064+0320+0292+02B2,d̠ʒˠʷ,1,0.1667
0064+0320+0292+02B7,d̠ʒʷ,16,1.0000
0064+0320+0292+02BC,d̠ʒʼ,1,1.0000
0064+0320+0292+02D0,d̠ʒː,21,1.0000
0064+0320+0292+0324,d̠ʒ̤,6,0.8571
0064+0320+0292+0324,n̠d̠ʒ̤,1,0.1429
0064+0320+0292+0324+02D0,d̠ʒ̤ː,1,1.0000
0064+0324,d̤,7,0.8750
0064+0324,d̤ː,1,0.1250
0064+0324+007A+0324,d̤z̤,1,1.0000
0064+0324+026E+0324,d̤ɮ̤,1,1.0000
0064+0324+0292+0324,d̤ʒ̤,1,1.0000
0064+0324+0320+0292+0324,d̤̠ʒ̤,1,1.0000
0064+0324+0325,d̤̥,2,0.6667
0064+0324+0325,d,1,0.3333
0064+0324+032A,d̤̪,3,0.7500
0064+0324+032A,n̪d̤̪,1,0.2500
0064+0324+032A+02D0,d̤̪ː,1,1.0000
0064+0324+032A+0325,d̤̪̥,1,1.0000
0064+0329,d̩,1,1.0000
0064+032A,d̪,135,0.6368
0064+032A,n̪d̪,10,0.0472
0064+032A,ð,8,0.0377
0064+032A,t̪,7,0.0330
0064+032A,d̪̚,5,0.0236
0064+032A,d̪ʲ,4,0.0189
0064+032A,d̪̥,4,0.0189
0064+032A,d,4,0.0189
0064+032A,ɾ̪,3,0.0142
0064+032A,dʷ,2,0.0094
0064+032A,θ,2,0.0094
0064+032A,ɟ,2,0.0094
0064+032A,d̪ð,2,0.0094
0064+032A,n,2,0.0094
0064+032A,d̪ⁿ,1,0.0047
0064+032A,dʲ,1,0.0047
0064+032A,dʱ,1,0.0047
0064+032A,ʔd̪,1,0.0047
0064+032A,d̞,1,0.0047
0064+032A,d̠ʒ,1,0.0047
0064+032A,d̪ː,1,0.0047
0064+032A,t̚,1,0.0047
0064+032A,ð̞,1,0.0047
0064+032A,dˠ,1,0.0047
0064+032A,t̪ʰ,1,0.0047
0064+032A,d̪j,1,0.0047
0064+032A,j,1,0.0047
0064+032A,l,1,0.0047
0064+032A,tʰ,1,0.0047
0064+032A,d̪ˡ,1,0.0047
0064+032A,s,1,0.0047
0064+032A,ɲ,1,0.0047
0064+032A,t,1,0.0047
0064+032A,t̪̚,1,0.0047
0064+032A,r̪,1,0.0047
0064+032A,ɾ,1,0.0047
0064+032A+0078,d̪x,1,1.0000
0064+032A+007A+032A,d̪z̪,10,0.9091
0064+032A+007A+032A,dz̪ʲ,1,0.0909
0064+032A+007C+0064,d̪|d,1,1.0000
0064+032A+00F0,d̪ð,2,0.5000
0064+032A+00F0,t̪θ͉,1,0.2500
0064+032A+00F0,ð,1,0.2500
0064+032A+0266,d̪ɦ,1,1.0000
0064+032A+02B1,d̪ʱ,7,1.0000
0064+032A+02BC+006B+0078+02BC,d̪ʼkxʼ,1,1.0000
0064+032A+02D0,d̪ː,10,0.9091
0064+032A+02D0,d̪,1,0.0909
0064+032A+031A,d̪̚,1,1.0000
0064+0330,t̚,1,0.2000
0064+0330,d̚,1,0.2000
0064+0330,nd,1,0.2000
0064+0330,d̰,1,0.2000
0064+0330,n,1,0.2000
0064+033A,d̺,1,1.0000
0064+033A+02D0,d̺ː,1,1.0000
0064+033B,d̻,4,0.8000
0064+033B,d,1,0.2000
0064+033B+007A+033B,d̻z̻,3,0.6000
0064+033B+007A+033B,dz,1,0.2000
0064+033B+007A+033B,d̠ʒ,1,0.2000
0064+033B+02B2,d̻ⁿʲ,1,0.3333
0064+033B+02B2,d̻ˡʲ,1,0.3333
0064+033B+02B2,d̻ʲ,1,0.3333
0064+033B+02D0,d̻ː,1,1.0000
0064+0348,d͈,1,1.0000
0064+0348+02D0,d͈ː,1,1.0000
0064+0348+0320+0292,d͈̠ʒ,1,1.0000
0064+1DA3,dᶣ,1,1.0000
0065,e,978,0.7471
0065,ɛ,91,0.0695
0065,ẽ,62,0.0474
0065,eː,31,0.0237
0065,ɪ,20,0.0153
0065,ə,17,0.0130
0065,i,15,0.0115
0065,e̞,13,0.0099
0065,e̥,12,0.0092
0065,ɛː,5,0.0038
0065,ɛ̃,5,0.0038
0065,æ,5,0.0038
0065,ei,4,0.0031
0065,eˑ,4,0.0031
0065,æː,3,0.0023
0065,ɘ,3,0.0023
0065,ḛ,3,0.0023
0065,ɨ,3,0.0023
0065,ø,3,0.0023
0065,ĕ,2,0.0015
0065,ɜ,2,0.0015
0065,e̠,2,0.0015
0065,ɔ,2,0.0015
0065,ɤ,2,0.0015
0065,a,2,0.0015
0065,ɛˑ,1,0.0008
0065,eɪ,1,0.0008
0065,eˤ,1,0.0008
0065,ʊ,1,0.0008
0065,ɪ̰,1,0.0008
0065,o,1,0.0008
0065,ẽː,1,0.0008
0065,ɛᵊ,1,0.0008
0065,ie,1,0.0008
0065,ɪ̥,1,0.0008
0065,ɛa,1,0.0008
0065,ɛi,1,0.0008
0065,e̯,1,0.0008
0065,ḭ,1,0.0008
0065,ɐ,1,0.0008
0065,œ,1,0.0008
0065,i̯,1,0.0008
0065,ë,1,0.0008
0065,e̝,1,0.0008
0065,ʲe,1,0.0008
0065+0061,ea,6,0.8571
0065+0061,ä,1,0.1429
0065+0069,ei,20,0.9524
0065+0069,ɛi,1,0.0476
0065+0069+0303,eĩ,1,1.0000
0065+0069+0319,ei̙,1,1.0000
0065+0069+032F,ei̯,1,1.0000
0065+006A,ej,1,1.0000
0065+006F,eo,3,1.0000
0065+0075,eu,5,1.0000
0065+0075+032F,eu̯,1,1.0000
0065+0254,eɔ,1,1.0000
0065+0258,eɘ,1,1.0000
0065+0259,eə,1,1.0000
0065+026A,eɪ,2,1.0000
0065+028A,eʊ,1,1.0000
0065+02B2,ẽʲ,1,0.5000
0065+02B2,eʲ,1,0.5000
0065+02C0,eˀ,1,1.0000
0065+02D0,eː,374,0.8947
0065+02D0,ẽː,8,0.0191
0065+02D0,ɛː,7,0.0167
0065+02D0,e,6,0.0144
0065+02D0,e̞ː,3,0.0072
0065+02D0,ɪː,3,0.0072
0065+02D0,ei,2,0.0048
0065+02D0,iː,2,0.0048
0065+02D0,ḛː,2,0.0048
0065+02D0,ɤe,1,0.0024
0065+02D0,ʲeː,1,0.0024
0065+02D0,ĕ,1,0.0024
0065+02D0,eˑ,1,0.0024
0065+02D0,ɤː,1,0.0024
0065+02D0,e̤ː,1,0.0024
0065+02D0,eə̯,1,0.0024
0065+02D0,əː,1,0.0024
0065+02D0,eːˤ,1,0.0024
0065+02D0,ie,1,0.0024
0065+02D0,e̠ː,1,0.0024
0065+02D1,eˑ,2,0.6667
0065+02D1,ɛˑ,1,0.3333
0065+02E0,eˠ,2,1.0000
0065+02E4,eˤ,1,1.0000
0065+0303,ẽ,144,0.9600
0065+0303,ɛ̃,4,0.0267
0065+0303,ẽ̞,1,0.0067
0065+0303,e,1,0.0067
0065+0303+0069+0303,ẽĩ,1,1.0000
0065+0303+02D0,ẽː,24,1.0000
0065+0303+031E,ẽ̞,6,0.7500
0065+0303+031E,ɛ̃,1,0.1250
0065+0303+031E,ẽ,1,0.1250
0065+0303+031E+02D0,ẽ̞ː,3,0.6000
0065+0303+031E+02D0,ɛ̃ː,1,0.2000
0065+0303+031E+02D0,ẽː,1,0.2000
0065+0306,ĕ,2,1.0000
0065+0308,ë,1,1.0000
0065+0318,e̘,1,0.5000
0065+0318,ẽ̘,1,0.5000
0065+0318+02D0,e̘ː,1,1.0000
0065+0319,e̙,1,0.5000
0065+0319,ẽ̙,1,0.5000
0065+031D,e̝,5,0.8333
0065+031D,e̝ː,1,0.1667
0065+031E,e̞,44,0.5500
0065+031E,ɛ,8,0.1000
0065+031E,e̞̥,5,0.0625
0065+031E,ḛ̞,3,0.0375
0065+031E,e̞̠,3,0.0375
0065+031E,ɤ̞,2,0.0250
0065+031E,e,2,0.0250
0065+031E,ĕ̞,2,0.0250
0065+031E,ẽ̞,2,0.0250
0065+031E,e̞ː,1,0.0125
0065+031E,e̯,1,0.0125
0065+031E,ee̞,1,0.0125
0065+031E,ḛ̞̃,1,0.0125
0065+031E,e̞ˑ,1,0.0125
0065+031E,ɛː,1,0.0125
0065+031E,e̤̞,1,0.0125
0065+031E,ḛ̞ː,1,0.0125
0065+031E,ɛ̆,1,0.0125
0065+031E+02D0,e̞ː,18,0.9474
0065+031E+02D0,ee̞ː,1,0.0526
0065+031E+02E4,e̞ˤ,1,1.0000
0065+031E+0306,ĕ̞,1,1.0000
