ipa,occurences,consonant,vowel,mod_consonant,mod_vowel,click
xʰ,1,1,0,0,0,0
žʱ,1,1,0,0,0,0
vj^,0,1,0,0,0,0
β˜,1,1,0,0,0,0
ᵈzˣ,1,1,0,0,0,0
zʱ,1,1,0,0,0,0
j^,4,1,0,0,0,0
vz,0,1,0,0,0,0
fç,0,1,0,0,0,0
hʲ,1,1,0,0,0,0
fˀ,4,1,0,0,0,0
ž,291,1,0,0,0,0
v˜,1,1,0,0,0,0
çː,9,1,0,0,0,0
ẓ̌,15,1,0,0,0,0
v̥,1,1,0,0,0,0
ɸ,100,1,0,0,0,0
ẓ,19,1,0,0,0,0
ʕˀʷ,5,1,0,0,0,0
zʹ,1,1,0,0,0,0
vʰ,1,1,0,0,0,0
i̱,2,0,1,0,0,0
e,1444,0,1,0,0,0
i,1866,0,1,0,0,0
i̤,5,0,1,0,0,0
æ,161,0,1,0,0,0
e̤,2,0,1,0,0,0
I,298,0,1,0,0,0
ø,106,0,1,0,0,0
y,140,0,1,0,0,0
I̤,2,0,1,0,0,0
ɛ̤,3,0,1,0,0,0
ɛ,706,0,1,0,0,0
Y,10,0,1,0,0,0
œ,33,0,1,0,0,0
e̅,1,0,1,0,0,0
ḛ,1,0,1,0,0,0
e˃,1,0,1,0,0,0
w̤,1,1,0,0,0,0
ə̯,1,1,0,0,0,0
j,1855,1,0,0,0,0
j̥,28,1,0,0,0,0
w˜,13,1,0,0,0,0
ˀj,53,1,0,0,0,0
ɨ̯,2,1,0,0,0,0
w̥,41,1,0,0,0,0
w,1684,1,0,0,0,0
ɯ̯,4,1,0,0,0,0
jˀ,7,1,0,0,0,0
ɑ̯,1,1,0,0,0,0
ˀw,41,1,0,0,0,0
ɥ˜,1,1,0,0,0,0
wˀ,6,1,0,0,0,0
j̤,2,1,0,0,0,0
ɥ,24,1,0,0,0,0
ȷ˜,6,1,0,0,0,0
ɬʰ,1,1,0,0,0,0
l̥ᵚ,1,1,0,0,0,0
l̪̥,1,1,0,0,0,0
ʎ̣,1,1,0,0,0,0
ɬ̣,2,1,0,0,0,0
l,1650,1,0,0,0,0
ɬˀ,6,1,0,0,0,0
ḷ̥,1,1,0,0,0,0
lᵚ,15,1,0,0,0,0
l̤,10,1,0,0,0,0
ɬ,165,1,0,0,0,0
ɬː,1,1,0,0,0,0
ˀl,31,1,0,0,0,0
ḷ̌,7,1,0,0,0,0
l̯,33,1,0,0,0,0
L̥,1,1,0,0,0,0
ʎ,126,1,0,0,0,0
L,8,1,0,0,0,0
l˜,1,1,0,0,0,0
l̪,9,1,0,0,0,0
ɮ,19,1,0,0,0,0
ʎᵚ,1,1,0,0,0,0
l̥,49,1,0,0,0,0
ɬ̪,1,1,0,0,0,0
ľ,38,1,0,0,0,0
lˀ,4,1,0,0,0,0
ḷ̤,2,1,0,0,0,0
bɮ,0,1,0,0,0,0
ḷ,105,1,0,0,0,0
ʎ̥,4,1,0,0,0,0
lʲ,3,1,0,0,0,0
c̯,3,0,0,1,0,0
ˀc,3,0,0,1,0,0
cː,361,0,0,1,0,0
cᴺ,1,0,0,1,0,0
cʲʷ,1,0,0,1,0,0
c̥,5,0,0,1,0,0
cʰ,3,0,0,1,0,0
cᶛ,22,0,0,1,0,0
cʲː,4,0,0,1,0,0
cˀ,2,0,0,1,0,0
c̣,1,0,0,1,0,0
cʲ,130,0,0,1,0,0
ᴺc,200,0,0,1,0,0
c̣ː,1,0,0,1,0,0
ʰcᴺ,1,0,0,1,0,0
cːː,1,0,0,1,0,0
ͨN,1,0,0,1,0,0
cᵚ,4,0,0,1,0,0
c̤,1,0,0,1,0,0
cʲ̱,1,0,0,1,0,0
cʷ,234,0,0,1,0,0
vowelharmony,154,0,0,0,1,0
vː̰,1,0,0,0,1,0
vowelharmony_TR,1,0,0,0,1,0
v̱,3,0,0,0,1,0
v˜ᶛ,3,0,0,0,1,0
vː,968,0,0,0,1,0
v̤̅,1,0,0,0,1,0
v˜̰,7,0,0,0,1,0
vʔ,0,0,0,0,1,0
vˀv,0,0,0,0,1,0
v̤,40,0,0,0,1,0
vˀ_v,1,0,0,0,1,0
nasalharmony,24,0,0,0,1,0
vː̤,1,0,0,0,1,0
̅vː,2,0,0,0,1,0
v̆,2,0,0,0,1,0
v˜,462,0,0,0,1,0
v̰ː,6,0,0,0,1,0
v̥,4,0,0,0,1,0
v˜̤,4,0,0,0,1,0
v˜ː,111,0,0,0,1,0
̱vː,1,0,0,0,1,0
v̅,3,0,0,0,1,0
vᶛ,5,0,0,0,1,0
v̰,31,0,0,0,1,0
v̤ː,8,0,0,0,1,0
vˀ,3,0,0,0,1,0
mˡ,5,1,0,0,0,0
n̪̥,0,1,0,0,0,0
n̥˜,5,1,0,0,0,0
n̥,63,1,0,0,0,0
ˀn˜,3,1,0,0,0,0
ŋm,40,1,0,0,0,0
ṇ̥,2,1,0,0,0,0
nʱ,1,1,0,0,0,0
ŋ̥ʷ,1,1,0,0,0,0
ˀn̪,0,1,0,0,0,0
ŋʷ,29,1,0,0,0,0
m,2044,1,0,0,0,0
n,2050,1,0,0,0,0
ˀŋʷ,1,1,0,0,0,0
ŋˀ,2,1,0,0,0,0
ṇ,142,1,0,0,0,0
m̥,56,1,0,0,0,0
mʷ,4,1,0,0,0,0
nˀ,7,1,0,0,0,0
ˀm,41,1,0,0,0,0
nm,0,1,0,0,0,0
ɱ,1,1,0,0,0,0
ˀn,40,1,0,0,0,0
mʱ,1,1,0,0,0,0
N,14,1,0,0,0,0
mᶛ,1,1,0,0,0,0
nʲ,4,1,0,0,0,0
mˀ,8,1,0,0,0,0
ŋᵚ,1,1,0,0,0,0
n̤,10,1,0,0,0,0
n̪ᵚ,1,1,0,0,0,0
mn˜,0,1,0,0,0,0
n˜,801,1,0,0,0,0
ṇ̤,1,1,0,0,0,0
ŋ^,3,1,0,0,0,0
ŋʲ,1,1,0,0,0,0
n̯,57,1,0,0,0,0
ŋ̥ʲ,1,1,0,0,0,0
m̥ˡ,3,1,0,0,0,0
ˀŋ,6,1,0,0,0,0
ŋ,1206,1,0,0,0,0
n˜̥,24,1,0,0,0,0
m̤,10,1,0,0,0,0
n̪,27,1,0,0,0,0
nʷ,0,1,0,0,0,0
mᵚ,1,1,0,0,0,0
ŋ̥,30,1,0,0,0,0
kʷ,181,1,0,0,0,0
ɗ̪,1,1,0,0,0,0
ɡ̤,49,1,0,0,0,0
ᴳqʰ,1,1,0,0,0,0
ʔ,898,1,0,0,0,0
