InventoryID,LanguageCode,LanguageName,Glottocode,GlottologName,LanguageFamilyRoot,LanguageFamilyGenus,SpecificDialect,Area,Country,Latitude,Longitude,Population,Phonemes,Consonants,Vowels,Tones,Trump,Source,_phonemelist,Notes
1392,now,"Kinyambo",nyam1277,"Nyambo","ncon","Bantoid","","Africa","Tanzania",-1.6096,30.9156,400000,33,20,10,3,1,GM,a|aː|b|d|d̠ʒ|e|eː|f|h|i|iː|j|k|m|n|o|oː|p|r|s|t|t̠ʃ|u|uː|w|z|ŋ|ɡ|ɱ|ɲ|˦|˦˨|˨,
1393,daf,"Dan",dann1241,"Dan","ncon","Eastern Mande","Santa","Africa","Côte d'Ivoire",7.22812,-8.24535,800000,92,44,40,8,1,GM,a|aː|ã|ãː|b|bʲ|d|dʲ|e|eː|f|fʲ|i|iː|ĩ|ĩː|j|k|kp|kpʲ|kʲ|kʷ|l|m|mʲ|n|nʲ|nʷ|o|oː|p|pʲ|s|sʲ|sʷ|t|tʲ|u|uː|ũ|ũː|v|vʲ|w|wʲ|z|zʲ|zʷ|æ|æː|æ̃|æ̃ː|ŋ|ɒ|ɒː|ɒ̃|ɒ̃ː|ɓ|ɓʲ|ɔ|ɔː|ɔ̃|ɔ̃ː|ɗ|ɗʲ|ə|əː|ə̃|ə̃ː|ɛ|ɛː|ɛ̃|ɛ̃ː|ɡ|ɡb|ɡbʲ|ɡʲ|ɡʷ|ɨ|ɨː|ɲ|ɵ|ɵː|˥|˥˨˧|˦|˧|˧˥˨|˧˨|˨|˩|ᶑ,
1394,pko,"Pokot",poko1263,"Pokoot","nsah","Nilotic","","Africa","Kenya",1.57023,35.2318,264000,39,17,19,3,1,GM,a|aː|a̤|b|d|e|eː|e̤|i|iː|i̤|j|k|l|m|n|o|oː|o̤|p|r|s|t|t̪ʃ|t̠ʃ|u|uː|w|x|ŋ|ɔ|ɔː|ə|ɛ|ɛː|ɡ|ɲ|˦|˧|˨,
1395,afr,"Afrikaans",afri1274,"Afrikaans","ieur","Germanic","","Africa","South Africa",-22.0,30.0,4740000,39,16,23,0,1,GM,a|ai|aː|b|d|eɘ|f|i|iː|j|k|l|m|n|oɘ|p|r|s|t|u|uː|v|x|y|yː|øɘ|ŋ|œ|œi|œu|œː|ɔ|ɔː|ɘi|ɛ|ɛː|ɦ|ɪ̝|ɪ̝ː,
1396,agj,"Argobba",argo1244,"Argobba","afas","Semitic","","Africa","Ethiopia",10.6596,39.756,10900,38,30,8,0,1,GM,a|aː|b|d|d̠ʒ|e|f|h|hʷ|i|j|kʰ|kʷ|kʷʼ|kʼ|l|m|n|o|pʰ|pʼ|s|tʰ|tʼ|t̠ʃ|t̠ʃʼ|u|w|z|ɡ|ɡʷ|ɨ|ɲ|ɽ|ʃ|ʌ|ʒ|ʔ,
1397,har,"Harari",hara1271,"Harari","afas","Semitic","","Africa","Ethiopia",9.30485,42.1332,21300,34,25,9,0,1,GM,a|aː|cç|cçʼ|d|e|eː|f|hʼ|i|iː|j|k|l|m|n|o|oː|p|q|r|s|t|tʼ|u|w|x|z|ɟʝ|ɡ|ɣ|ɲ|ʃ|ʔ,
1398,din,"Dinka",,"","nsah","Nilotic","macrolanguage","Africa","Sudan",,,320000,49,20,26,3,1,GM,a|aː|a̤|a̤ː|b|c|d|d̪|e|eː|e̤|e̤ː|i|iː|i̤|i̤ː|j|k|l|m|n|n̪|o|oː|o̤|o̤ː|p|t|t̪|u|uː|w|ŋ|ɔ|ɔː|ɔ̤|ɔ̤ː|ɛ|ɛː|ɛ̤|ɛ̤ː|ɟ|ɡ|ɣ|ɲ|ɾ|˦|˧|˨,
1399,nzi,"Nzema",nzim1238,"Nzima","ncon","Kwa","","Africa","Ghana",5.1785,-2.81123,262000,40,24,14,2,1,GM,a|ã|b|cç|cçʷ|d̪|e|f|h|i|ĩ|j|k|kp|l|m|n|o|s|t̪|u|ũ|w|ŋ|ɔ|ɛ|ɟʝ|ɟʝʷ|ɡ|ɡʷ|ɪ|ɪ̃|ɲ|ɲʷ|ʃ|ʃʷ|ʊ|ʊ̃|˦|˨,
1400,aha,"Ahanta",ahan1243,"Ahanta","ncon","Kwa","","Africa","Ghana",4.85147,-1.94657,142000,40,24,14,2,1,GM,a|ã|b|cç|cçʷ|d̪|e|f|h|i|ĩ|j|k|kp|l|m|n|o|s|t̪|u|ũ|w|ŋ|ɔ|ɛ|ɟʝ|ɟʝʷ|ɡ|ɡʷ|ɪ|ɪ̃|ɲ|ɲʷ|ʃ|ʃʷ|ʊ|ʊ̃|˦|˨,
1401,hna,"Besleri",mina1276,"Mina (Cameroon)","afas","Biu-Mandara","","Africa","Cameroon",10.3805,13.8405,11000,50,39,9,2,1,GM,a|aː|b|bʷ|d|dz|f|h|i|j|k|kʷ|l|m|mb|mp|n|nd|ndz|nt|nts|p|r|s|t|ts|u|uː|v|w|z|ŋ|ŋk|ŋkʷ|ŋɡ|ŋɡʷ|ɓ|ɔ|ɗ|ɘ|ɛ|ɛː|ɡ|ɡʷ|ɬ|ɮ|ɱv|ʔ|˦|˨,
1402,bhs,"Buwal",buwa1243,"Buwal","afas","Biu-Mandara","","Africa","Cameroon",10.6151,13.8838,7000,43,38,2,3,1,GM,b|d|dz|f|j|k|kp|kʷ|l|m|mb|n|nd|ndz|p|r|s|t|ts|v|w|x|xʷ|z|ŋ|ŋmɡb|ŋɡ|ŋɡʷ|ŋʷ|ɑ|ɓ|ɗ|ə|ɡ|ɡb|ɡʷ|ɣ|ɣʷ|ɬ|ɮ|˦|˧|˨,
1403,xed,"Hide",hdii1240,"Hdi","afas","Biu-Mandara","","Africa","Cameroon",10.942,13.6881,25000,41,37,4,0,1,GM,a|b|d|dz|f|fʷ|i|j|k|l|m|mb|n|nd|ndz|nz|p|r|s|sʷ|t|ts|u|v|vʷ|w|z|zʷ|ŋɡ|ŋɡʷ|ɓ|ɗ|ə|ɡ|ɬ|ɮ|ʁ|ʁʷ|ʔ|χ|χʷ,
1404,hia,"Lamang",lama1288,"Lamang","afas","Biu-Mandara","","Africa","Nigeria",11.0243,13.7362,40000,41,37,4,0,1,GM,a|b|d|dz|e|f|i|j|k|kʷ|l|m|mb|n|nd|ndz|nz|p|r|s|t|ts|u|v|w|x|xʷ|z|ð|ŋ|ŋɡ|ŋɡʷ|ŋʷ|ɓ|ɗ|ɡ|ɡʷ|ɣ|ɣʷ|ʔ|θ,
1405,ikw,"Ikwere",ikwe1242,"Ikwere","ncon","Igboid","","Africa","Nigeria",5.04333,6.86651,200000,46,23,18,5,1,GM,a|ã|b|b͉|d|d̠ʒ|e|ẽ|f|h|hʷ|i|ĩ|j|k|kʷ|l|o|õ|p|s|t|t̠ʃ|u|ũ|v|w|z|ɔ|ɔ̃|ɛ|ɛ̃|ɡ|ɡʷ|ɣ|ɪ|ɪ̃|ɹ|ʊ|ʊ̃|ˀb͉|˦|˦˨|˨|˨˦|↓˦,
1406,kot,"Lagwan",lagw1237,"Lagwan","afas","Biu-Mandara","","Africa","Cameroon",11.5592,14.9884,1500,41,34,5,2,1,GM,a|b|d|d̠ʒ|e|f|i|j|k|kʷ|kʷʼ|kʼ|l|m|n|o|p|s|sʼ|t|t̠ʃ|u|v|w|x|xʷ|z|ɓ|ɗ|ɡ|ɡʷ|ɬ|ɬʼ|ɮ|ɾ|ʁ|ʁʷ|ʃ|ʔ|˦|˨,
1407,gmm,"Mbodomo",gbay1281,"Gbaya-Mbodomo","ncon","Ubangi","","Africa","Cameroon",4.70037,14.9569,20000,38,28,7,3,2,GM,a|b|d|e|f|h|i|j|k|kp|l|m|mb|n|nd|nz|o|p|r|s|t|u|v|w|z|ŋ|ŋmɡb|ŋɡ|ɓ|ɔ|ɗ|ɛ|ɡ|ɡb|ɲ|˦|˧|˨,
1408,mqb,"Mbuko",mbuk1243,"Mbuko","afas","Biu-Mandara","","Africa","Cameroon",10.7788,14.1677,13000,45,34,8,3,1,GM,a|b|d|dz|e|f|h|hʷ|i|j|k|kp|kʷ|l|m|mb|n|nd|ndz|o|p|r|s|t|ts|u|v|w|y|z|ŋmɡb|ŋɡ|ŋɡʷ|œ|ɓ|ɗ|ə|ɡ|ɡʷ|ɬ|ɮ|ʔ|˦|˧|˨,
1409,mlw,"Moloko",molo1266,"Moloko","afas","Biu-Mandara","","Africa","Cameroon",10.7933,14.2521,8500,47,31,10,6,1,GM,a|b|d|dz|f|h|hʷ|i|j|k|kʷ|l|m|mb|n|nd|nz|p|r|s|t|ts|u|v|w|z|æ|ŋɡ|ŋɡʷ|œ|ɓ|ɔ|ɗ|ɘ|ɛ|ɡ|ɡʷ|ɪ|ɬ|ɮ|ʊ|˦|˦˨|˦˨˦|˨|˨˦|˨˦˨,
1410,muy,"Muyang",muya1243,"Muyang","afas","Biu-Mandara","","Africa","Cameroon",10.8605,14.2125,30000,46,27,14,5,1,GM,a|b|d|dz|e|f|i|j|k|l|m|mb|n|nd|ndz|o|p|r|s|t|ts|u|v|w|x|y|z|ø|ŋɡ|œ|ɓ|ɔ|ɗ|ə|ɛ|ɡ|ɪ|ɬ|ɮ|ʊ|ʏ|˦|˦˨|˧|˨|˨˦,
1411,jgo,"Ngomba",ngom1272,"Ngomba","ncon","Bantoid","","Africa","Cameroon",5.63067,10.237,63000,27,19,6,2,1,GM,a|f|i|j|k|l|m|n|p|pf|q̚|s|t|ts|u|v|w|z|ŋ|ɔ|ɛ|ɣ|ɨ|ʁ|ʔ|˦|˨,
1412,dmo,"Kemezung",keme1240,"Kemezung","ncon","Bantoid","","Africa","Cameroon",6.69577,10.4984,4500,34,20,8,6,1,GM,b|d|dz|e|f|h|i|j|k|kp|kpʷ|l|m|n|o|s|t|ts|u|w|ŋ|ɔ|ə|ɛ|ɜ|ɡ|ɡb|ɲ|˥˩|˦|˧|˧˨|˨|˨˧,
1413,ntm,"Nateni",nate1242,"Nateni","ncon","Gur","","Africa","Benin",10.5191,1.21879,66000,40,13,24,3,1,GM,a|aː|ã|ãː|b|c|d|e|eː|f|h|i|iː|ĩ|ĩː|j|k|kp|o|oː|p|s|t|u|uː|ũ|ũː|w|ɔ|ɔː|ɔ̃|ɔ̃ː|ɛ|ɛː|ɛ̃|ɛ̃ː|ɟ|˦|˧|˨,
1414,stv,"Silt'i",silt1240,"Silt'e","afas","Semitic","","Africa","Ethiopia",7.77004,38.1449,1000000,56,46,10,0,1,GM,aː|b|bː|d|dː|d̠ʒ|d̠ʒː|e|eː|f|fː|h|i|iː|j|jː|k|kʼ|kː|kːʼ|l|lː|m|mː|n|nː|o|oː|r|rː|s|sː|t|tʼ|tː|tːʼ|t̠ʃ|t̠ʃʼ|t̠ʃː|t̠ʃːʼ|u|uː|w|wː|z|zː|ə|ɡ|ɡː|ɲ|ɲː|ʃ|ʃː|ʒ|ʒː|ʔ,
