ph1_ph2,advancedTongueRoot_++,advancedTongueRoot_--,advancedTongueRoot_+-,anterior_++,anterior_--,anterior_+-,approximant_++,approximant_--,approximant_+-,back_++,back_--,back_+-,click_++,click_--,click_+-,consonantal_++,consonantal_--,consonantal_+-,constrictedGlottis_++,constrictedGlottis_--,constrictedGlottis_+-,continuant_++,continuant_--,continuant_+-,coronal_++,coronal_--,coronal_+-,delayedRelease_++,delayedRelease_--,delayedRelease_+-,distributed_++,distributed_--,distributed_+-,dorsal_++,dorsal_--,dorsal_+-,epilaryngealSource_++,epilaryngealSource_--,epilaryngealSource_+-,fortis_++,fortis_--,fortis_+-,front_++,front_--,front_+-,high_++,high_--,high_+-,labial_++,labial_--,labial_+-,labiodental_++,labiodental_--,labiodental_+-,lateral_++,lateral_--,lateral_+-,long_++,long_--,long_+-,low_++,low_--,low_+-,loweredLarynxImplosive_++,loweredLarynxImplosive_--,loweredLarynxImplosive_+-,nasal_++,nasal_--,nasal_+-,periodicGlottalSource_++,periodicGlottalSource_--,periodicGlottalSource_+-,raisedLarynxEjective_++,raisedLarynxEjective_--,raisedLarynxEjective_+-,retractedTongueRoot_++,retractedTongueRoot_--,retractedTongueRoot_+-,round_++,round_--,round_+-,short_++,short_--,short_+-,sonorant_++,sonorant_--,sonorant_+-,spreadGlottis_++,spreadGlottis_--,spreadGlottis_+-,stress_++,stress_--,stress_+-,strident_++,strident_--,strident_+-,syllabic_++,syllabic_--,syllabic_+-,tap_++,tap_--,tap_+-,tense_++,tense_--,tense_+-,tone_++,tone_--,tone_+-,trill_++,trill_--,trill_+-,distance
e_z,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,8.084284
e_æ,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,T,F,3.550887
e_ŋ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,5.550678
e_ɔ,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,T,F,5.543961
e_ɖ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,4.272060
e_ə,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,T,F,3.527974
e_ɛ,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,T,F,1.751472
e_ɟ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,T,F,F,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,5.325704
e_ɡ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,4.342583
e_ɣ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,3.934025
e_ɨ,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,2.543884
e_ɭ,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,4.050987
e_ɲ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,T,F,F,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,4.474303
e_ɳ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,6.190383
e_ɸ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,5.280980
e_ɹ,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,5.080531
e_ɽ,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,3.017898
e_ɾ,F,T,F,F,F,T,T,F,F,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,3.010289
e_ʃ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,13.051844
e_ʈ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,5.886795
e_ʎ,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,T,F,F,F,T,T,F,F,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,2.904932
e_ʒ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,6.918153
e_ʔ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,4.909691
e_β,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,4.078898
f_f,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,0.000000
f_h,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,4.896406
f_i,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,7.358470
f_j,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,8.768712
f_k,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,5.356631
f_kʷ,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,5.977929
f_l,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,9.043094
f_m,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,10.711101
f_n,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,10.259252
f_o,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,8.675027
f_p,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,5.867943
f_r,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,7.043332
f_s,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,F,T,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,9.172527
f_t,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,5.440078
f_ts,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,F,T,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,6.618707
f_tʃ,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,F,T,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,6.001252
f_u,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,8.633188
f_v,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,5.589218
f_w,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,9.471551
f_x,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,3.216842
f_z,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,F,T,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,4.728067
f_æ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,8.407885
f_ŋ,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,10.561811
f_ɔ,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,8.383497
f_ɖ,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,6.587697
f_ə,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,8.554652
f_ɛ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,8.322065
f_ɟ,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,5.232106
f_ɡ,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,6.574039
f_ɣ,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,5.212089
f_ɨ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,F,T,F,T,F,T,F,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,F,T,F,F,T,F,8.416506
f_ɭ,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,T,F,F,F,T,F,T,F,F,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,T,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,F,T,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,F,T,F,9.792767
